Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
montage-chameleon-dss-10d-001-hosts-4-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-10d-001,4,12554435.844395,12558536.230498,12554435.844395,12562162.613793,10924.928886,10928.653907,10924.928886,10930.921069
montage-chameleon-dss-10d-001-hosts-8-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-10d-001,8,12594005.176326,12605592.092897,12594005.176326,12616941.522822,5496.014319,5504.203381,5496.014319,5523.435926
montage-chameleon-dss-10d-001-hosts-16-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-10d-001,16,12977517.179515,13107295.910023,12977517.179515,13359991.517020,3001.197551,3053.639956,3001.197551,3106.188787
montage-chameleon-dss-125d-001-hosts-2-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-125d-001,2,12590767.164804,12595467.984427,12590767.164804,12599491.980232,21897.163158,21905.470540,21897.163158,21912.630449
montage-chameleon-dss-125d-001-hosts-4-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-125d-001,4,12680882.060651,12687231.118225,12680882.060651,12693814.228153,11035.284607,11040.081608,11035.284607,11044.917049
montage-chameleon-dss-125d-001-hosts-8-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-125d-001,8,12759219.267645,12768287.421217,12759219.267645,12780206.451820,5569.394398,5573.635664,5569.394398,5577.449328
montage-chameleon-dss-125d-001-hosts-16-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-125d-001,16,12525626.463977,12911869.320422,12525626.463977,13016847.301080,2861.094705,2912.634320,2861.094705,2944.810922
seismology-chameleon-100p-001-hosts-2-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-100p-001,2,24078.299975,24078.335214,24078.299975,24078.379059,41.889396,41.889595,41.889396,41.889794
seismology-chameleon-100p-001-hosts-4-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-100p-001,4,24091.256592,24093.966762,24091.256592,24096.651887,20.997623,21.000330,20.997623,21.007521
seismology-chameleon-100p-001-hosts-8-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-100p-001,8,23803.713335,24144.422403,23803.713335,24242.184772,10.597278,10.622617,10.597278,10.648808
seismology-chameleon-100p-001-hosts-16-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-100p-001,16,24321.192748,24553.502820,24321.192748,24770.491432,5.433851,5.569501,5.433851,5.686806
seismology-chameleon-500p-001-hosts-2-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-500p-001,2,96470.208838,96470.248426,96470.208838,96470.276060,167.807403,167.807468,167.807403,167.807538
seismology-chameleon-500p-001-hosts-4-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-500p-001,4,96502.879396,96504.717174,96502.879396,96509.399944,84.018422,84.020930,84.018422,84.026562
seismology-chameleon-500p-001-hosts-8-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-500p-001,8,96582.285246,96607.274480,96582.285246,96633.377777,42.153437,42.165489,42.153437,42.181792
seismology-chameleon-500p-001-hosts-16-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-500p-001,16,96969.422653,97046.596451,96969.422653,97279.209927,21.333650,21.386036,21.333650,21.441540
seismology-chameleon-700p-001-hosts-2-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-700p-001,2,121097.721885,121097.801326,121097.721885,121097.861962,210.648830,210.648939,210.648830,210.649021
seismology-chameleon-700p-001-hosts-4-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-700p-001,4,121141.404379,121142.718894,121141.404379,121143.999868,105.477733,105.479250,105.477733,105.482261
seismology-chameleon-700p-001-hosts-8-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-700p-001,8,121228.736711,121269.822792,121228.736711,121312.802299,52.926190,52.943519,52.926190,52.962832
seismology-chameleon-700p-001-hosts-16-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-700p-001,16,121552.569533,121663.112291,121552.569533,121743.462687,26.724191,26.765457,26.724191,26.793208
seismology-chameleon-1000p-001-hosts-2-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-1000p-001,2,180290.961389,180291.254204,180290.961389,180291.509225,313.608286,313.609083,313.608286,313.609567
seismology-chameleon-1000p-001-hosts-4-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-1000p-001,4,180350.253419,180352.142552,180350.253419,180354.162025,157.008716,157.011286,157.008716,157.014131
seismology-chameleon-1000p-001-hosts-8-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-1000p-001,8,180471.162503,180485.839573,180471.162503,180503.482594,78.731155,78.747473,78.731155,78.760990
seismology-chameleon-1000p-001-hosts-16-multi-makespan-mono,multi-makespan-mono,seismology-chameleon-1000p-001,16,180879.536862,180986.963507,180879.536862,181054.074490,39.672248,39.726963,39.672248,39.765256
soykb-chameleon-10fastq-10ch-001-hosts-2-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-10ch-001,2,4079252.038263,4080018.528464,4079252.038263,4080964.165081,7100.833211,7102.191240,7100.833211,7103.610233
soykb-chameleon-10fastq-10ch-001-hosts-4-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-10ch-001,4,4562431.853073,4596758.374454,4562431.853073,4625389.805073,4841.853257,4846.692975,4841.853257,4854.980067
soykb-chameleon-10fastq-10ch-001-hosts-8-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-10ch-001,8,5402641.827116,5432348.963292,5402641.827116,5463688.511093,3772.039498,3782.444916,3772.039498,3797.774182
soykb-chameleon-10fastq-10ch-001-hosts-16-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-10ch-001,16,6996894.283381,7033819.311762,6996894.283381,7066724.577400,3254.587084,3265.894495,3254.587084,3285.968082
soykb-chameleon-10fastq-20ch-001-hosts-2-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-20ch-001,2,8969333.627437,8973656.479115,8969333.627437,8999710.317972,16185.215015,16195.718748,16185.215015,16266.111246
soykb-chameleon-10fastq-20ch-001-hosts-4-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-20ch-001,4,10149879.555710,10186994.929940,10149879.555710,10210453.158906,11811.492028,11816.458956,11811.492028,11821.804507
soykb-chameleon-10fastq-20ch-001-hosts-8-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-20ch-001,8,12301921.643822,12352868.789543,12301921.643822,12400465.373117,9692.297197,9701.035459,9692.297197,9729.452776
soykb-chameleon-10fastq-20ch-001-hosts-16-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-10fastq-20ch-001,16,16478506.849357,16533645.359420,16478506.849357,16592594.589953,8648.124547,8661.201188,8648.124547,8670.772728
soykb-chameleon-30fastq-10ch-001-hosts-2-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-30fastq-10ch-001,2,12052454.186325,12054808.162023,12052454.186325,12056752.189517,21352.165943,21356.208068,21352.165943,21359.529192
soykb-chameleon-30fastq-10ch-001-hosts-4-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-30fastq-10ch-001,4,13191867.161125,13276925.153684,13191867.161125,13320551.375116,14047.951575,14052.178928,14047.951575,14061.959656
soykb-chameleon-30fastq-10ch-001-hosts-8-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-30fastq-10ch-001,8,15156858.116398,15204132.638524,15156858.116398,15270173.130188,10402.473656,10426.663772,10402.473656,10445.849917
soykb-chameleon-30fastq-10ch-001-hosts-16-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-30fastq-10ch-001,16,19060562.311085,19090906.412329,19060562.311085,19139346.258259,8603.441680,8627.607919,8603.441680,8645.437418
soykb-chameleon-40fastq-20ch-001-hosts-2-multi-makespan-mono,multi-makespan-mono,soykb-chameleon-40fastq-20ch-001,2,34731636.146780,34734606.836796,34731636.146780,34737366.397561,63772.630161,63778.165684,63772.630161,63782.763475
